STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170405,-9999,-9999,0.11,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170406,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170407,-9999,-9999,0.9,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170408,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170409,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170410,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170411,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170412,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170413,-9999,-9999,0.07,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170414,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170415,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170416,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20170101,-9999,-9999,0,0,0,-9999,42,27,34
GHCND:USC00280907,BOONTON 1 SE NJ US,20170102,-9999,-9999,0.02,0,0,-9999,45,27,33
GHCND:USC00280907,BOONTON 1 SE NJ US,20170103,-9999,-9999,0.45,0,0,-9999,37,33,36
GHCND:USC00280907,BOONTON 1 SE NJ US,20170104,-9999,-9999,0.58,0,0,-9999,41,36,39
GHCND:USC00280907,BOONTON 1 SE NJ US,20170105,-9999,-9999,0,0,0,-9999,50,25,25
GHCND:USC00280907,BOONTON 1 SE NJ US,20170106,-9999,-9999,0.02,-9999,0,-9999,31,24,26
GHCND:USC00280907,BOONTON 1 SE NJ US,20170107,-9999,-9999,0,0,0,-9999,32,21,22
GHCND:USC00280907,BOONTON 1 SE NJ US,20170108,-9999,-9999,0.06,1,1,-9999,22,16,17
GHCND:USC00280907,BOONTON 1 SE NJ US,20170109,-9999,-9999,0,0,0,-9999,24,6,7
GHCND:USC00280907,BOONTON 1 SE NJ US,20170110,-9999,-9999,0,0,0,-9999,21,6,10
GHCND:USC00280907,BOONTON 1 SE NJ US,20170111,-9999,-9999,0.33,0,0,-9999,42,10,39
GHCND:USC00280907,BOONTON 1 SE NJ US,20170112,-9999,-9999,0.27,0,0,-9999,49,37,48
GHCND:USC00280907,BOONTON 1 SE NJ US,20170113,-9999,-9999,0,0,0,-9999,60,47,48
GHCND:USC00280907,BOONTON 1 SE NJ US,20170114,-9999,-9999,0,0,0,-9999,48,25,25
GHCND:USC00280907,BOONTON 1 SE NJ US,20170115,-9999,-9999,0.1,1,0.5,-9999,31,24,27
GHCND:USC00280907,BOONTON 1 SE NJ US,20170116,-9999,-9999,0,0,0,-9999,36,18,19
GHCND:USC00280907,BOONTON 1 SE NJ US,20170117,-9999,-9999,0,0,0,-9999,42,19,35
GHCND:USC00280907,BOONTON 1 SE NJ US,20170118,-9999,-9999,0.31,0,0,-9999,38,35,38
GHCND:USC00280907,BOONTON 1 SE NJ US,20170119,-9999,-9999,0.02,0,0,-9999,41,32,32
